# Time	Temperature [K]	Pressure [Pa]
1e-07	1000	202650
2.9996e-07	1000	202650
6.9972e-07	1000	202650
1.4986e-06	1000	202650
3.09636e-06	1000	202650
6.28164e-06	1000	202650
1.1534e-05	1000	202650
1.74909e-05	1000	202650
2.54009e-05	1000	202650
3.47067e-05	1000	202650
4.52816e-05	1000	202650
5.63723e-05	1000	202650
6.80467e-05	1000	202650
8.53248e-05	1000	202650
9.39639e-05	1000.01	202650
0.000107498	1000.01	202650
0.000122595	1000.03	202650
0.000136073	1000.05	202650
0.000149071	1000.11	202650
0.000160768	1000.23	202650
0.000171369	1000.49	202650
0.00017667	1000.74	202650
0.000184018	1001.49	202650
0.0001912	1003.4	202650
0.000196814	1006.92	202650
0.000202327	1014.7	202650
0.000207128	1029.8	202650
0.000211196	1056.16	202650
0.000213229	1079.38	202650
0.00021566	1128.36	202650
0.000216875	1167.49	202650
0.00021857	1257.2	202650
0.000219418	1321.13	202650
0.000220985	1470.56	202650
0.000221769	1533.43	202650
0.000223332	1629.15	202650
0.000226441	1746	202650
0.000232658	1867.85	202650
0.00024481	1977.35	202650
0.000268009	2064.92	202650
0.000314407	2131.44	202650
0.000407204	2177.06	202650
0.0005	2196.08	202650
0.000666667	2210.84	202650
0.001	2220.17	202650
